Replace Part B? CR1220-2 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CR1220-2 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? TAJB107K006RNJ in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with TAJB107K006RNJ from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part C? CAP_0603 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with CAP_0603 from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part CARD? TF-02A in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with TF-02A from 5_CPU_TF卡.schdoc.SCHLIB
Replace Part D? 1N4148WS_C2128 in C:\Users\Administrator\Desktop\Repositories\电子封装课设\sch\2_主控.SchDoc with 1N4148WS_C2128 from 5_CPU_TF卡.schdoc.SCHLIB
